Période du ,01/08/2014,au,,31/10/2014,,,,,,,,,,
,Déposés,,,Restitués Perdants,,,Taux,,Restitués Inventeurs,,,Taux,,Taux global
,I,NI,TOTAL,I,NI,TOTAL,I,NI,I,NI,TOTAL,I,NI,
TROUSSE DE MAQUILLAGE,3,43,,2,2,,66.67%,4.65%,0,0,,0.00%,0.00%,8.70%
TROUSSE DE TOILETTE,1,20,,1,2,,100.00%,10.00%,0,0,,0.00%,0.00%,14.29%
TROUSSE D'ÉCOLIER,0,46,,0,1,,,2.17%,0,0,,,0.00%,2.17%
T-SHIRT / POLO,0,41,,0,0,,,0.00%,0,0,,,0.00%,0.00%
VALISE,33,171,,22,40,,66.67%,23.39%,0,0,,0.00%,0.00%,30.39%
VANITY CASE,1,8,,1,0,,100.00%,0.00%,0,0,,0.00%,0.00%,11.11%
VÉLO,0,1,,0,0,,,0.00%,0,0,,,0.00%,0.00%
VESTE,6,359,,4,12,,66.67%,3.34%,0,0,,0.00%,0.00%,4.38%
VIOLON,0,1,,0,0,,,0.00%,0,0,,,0.00%,0.00%
Total,16906,30521,0,8117,1711,0,48.01%,5.61%,1,1,0,0.01%,0.00%,20.73%

