"Période du ",,8/1/14,"au",,,10/31/14,,,,,,,,,,
,"Catégorie objets","Déposés",,,,"Restitués Perdants",,,"Taux",,,"Restitués Inventeurs",,,"Taux",
"CASQUE AUDIO","High Tech, vidéo, musique",0,84,84,0.177114302,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"CASSETTE AUDIO","High Tech, vidéo, musique",0,3,3,0.0063255108,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"CASSETTE VIDÉO","High Tech, vidéo, musique",0,3,3,0.0063255108,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"CHAÎNE","Accessoires",0,38,38,0.0801231366,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"CHARGEUR DE TELEPHONE","High Tech, vidéo, musique",0,8,8,0.0168680288,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"CHEMISE / CHEMISIER","Vêtements",0,21,21,0.0442785755,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"CHEVALIERE","Accessoires",0,6,6,0.0126510216,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"CLAVIER / ECRAN / SOURIS","High Tech, vidéo, musique",0,9,9,0.0189765324,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"CONTRAT DIVERS (TRAVAIL , LOCATION)","Cartes et documents",2,2,4,0.0084340144,0,0,0,0.00%,0.00%,0.00%,0,0,,0.00%,0.00%
"COUFFIN","Autres",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"COUPE VENT","Vêtements",1,30,31,0.0653636114,0,0,0,0.00%,0.00%,0.00%,0,0,,0.00%,0.00%
"COUVERTURE / COUETTE / DRAP","Autres",0,11,11,0.0231935395,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"DICTIONNAIRE","Autres",0,2,2,0.0042170072,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"DISQUETTE / CD ROM","High Tech, vidéo, musique",0,5,5,0.010542518,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"DVD","High Tech, vidéo, musique",0,10,10,0.0210850359,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"ÉTUI A LUNETTES","Accessoires",1,30,31,0.0653636114,0,0,0,0.00%,0.00%,0.00%,0,0,,0.00%,0.00%
"FACADE D'AUTO RADIO","High Tech, vidéo, musique",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"FLÛTE","Autres",0,2,2,0.0042170072,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"FOURRURE","Vêtements",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"GANT","Accessoires",0,27,27,0.0569295971,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"GPS","High Tech, vidéo, musique",1,11,12,0.0253020431,0,0,0,0.00%,0.00%,0.00%,0,0,,0.00%,0.00%
"GUITARE","Autres",0,3,3,0.0063255108,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"HOUSSE DE TELEPHONE","High Tech, vidéo, musique",0,14,14,0.0295190503,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"IMPRIMANTE","High Tech, vidéo, musique",0,3,3,0.0063255108,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"JEUX DE SOCIÉTÉ","Autres",0,2,2,0.0042170072,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"JOGGING / SURVETEMENT","Vêtements",0,15,15,0.0316275539,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"JUMELLES","Autres",0,2,2,0.0042170072,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"JUPE / ROBE","Vêtements",0,16,16,0.0337360575,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"LENTILLES DE CONTACT","Autres",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"LIVRET D'ÉPARGNE","Cartes et documents",1,8,9,0.0189765324,0,0,0,0.00%,0.00%,0.00%,0,0,,0.00%,0.00%
"MONTRE A GOUSSET","Accessoires",0,2,2,0.0042170072,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"OBJET DE CULTE","Autres",1,31,32,0.067472115,0,0,0,0.00%,0.00%,0.00%,0,0,,0.00%,0.00%
"OMBRELLE / PARASOL","Accessoires",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"OREILLER / COUSSIN","Autres",0,5,5,0.010542518,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"OUTILLAGE","Autres",0,24,24,0.0506040863,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"PANTALON / SHORT","Vêtements",0,18,18,0.0379530647,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"PARFUM","Autres",0,2,2,0.0042170072,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"PELLICULE PHOTO / NÉGATIF/C.MEM","Autres",0,7,7,0.0147595252,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"PENDENTIF","Accessoires",0,19,19,0.0400615683,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"PENDULE / HORLOGE / RÉVEIL","Autres",0,3,3,0.0063255108,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"PIÈCE","Portefeuilles et clés",0,8,8,0.0168680288,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"PIÈCE DE COLLECTION","Portefeuilles et clés",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"PLAN","Autres",1,1,2,0.0042170072,0,0,0,0.00%,0.00%,0.00%,0,0,,0.00%,0.00%
"POSTE RADIO","High Tech, vidéo, musique",0,3,3,0.0063255108,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"ROBOT / PERSONNAGE","Autres",0,3,3,0.0063255108,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"SAC A LANGER","Sacs",0,4,4,0.0084340144,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"SAC DE COUCHAGE","Sacs",0,11,11,0.0231935395,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"SERRE-TÊTE / BANDEAU (CHEVEUX) / BARETTE","Accessoires",0,3,3,0.0063255108,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"SERVIETTE DE BAIN / TAPIS DE BAIN","Autres",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"SIÈGE AUTO","Autres",0,2,2,0.0042170072,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"SOUS-VÊTEMENT / LINGERIE / CHAUSSETTE","Vêtements",0,3,3,0.0063255108,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"STYLO A BILLE / PLUME","Autres",0,8,8,0.0168680288,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"T-SHIRT / POLO","Vêtements",0,41,41,0.0864486474,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"TALKIE-WALKIE","High Tech, vidéo, musique",0,5,5,0.010542518,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"TELECOMMANDE","High Tech, vidéo, musique",0,2,2,0.0042170072,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"TÉLÉPHONE FIXE","High Tech, vidéo, musique",0,11,11,0.0231935395,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"TÉLÉVISEUR","High Tech, vidéo, musique",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"TOP CASE (MOTO)","Autres",0,2,2,0.0042170072,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"TREPIED","Autres",0,2,2,0.0042170072,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"TREPIED VIDEO","High Tech, vidéo, musique",0,6,6,0.0126510216,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"VÉLO","Autres",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"VIOLON","Autres",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"Total",,16906,30521,47427,100,8117,1711,9828,48.01%,5.61%,20.72%,1,1,0,0.01%,0.00%
