"Période du ",,8/1/14,"au",,,10/31/14,,,,,,,,,,
,"Catégorie objets","Déposés",,,,"Restitués Perdants",,,"Taux",,,"Restitués Inventeurs",,,"Taux",
"AUTRES PORTEFEUILLE","Portefeuilles et clés",4,0,4,0.0084340144,4,0,4,100.00%,,100.00%,0,0,,0.00%,
"SAXO / TROMPETTE / CLARINETTE","Autres",0,1,1,0.0021085036,0,1,1,,100.00%,100.00%,0,0,,,0.00%
"PORTE-CHEQUIER","Portefeuilles et clés",10,0,10,0.0210850359,8,0,8,80.00%,,80.00%,0,0,,0.00%,
"TITRE DE SÉJOUR","Cartes et documents",583,40,623,1.3135977397,308,4,312,52.83%,10.00%,50.08%,0,0,,0.00%,0.00%
"AUTRES SACOCHE","Sacs",9,10,19,0.0400615683,8,1,9,88.89%,10.00%,47.37%,1,0,,11.11%,0.00%
"POCHETTE HOMME","Sacs",13,6,19,0.0400615683,8,1,9,61.54%,16.67%,47.37%,0,0,,0.00%,0.00%
"CARTE FAMILLE NOMBREUSE SNCF","Cartes et documents",83,3,86,0.1813313092,39,0,39,46.99%,0.00%,45.35%,0,0,,0.00%,0.00%
"PORTEFEUILLE","Portefeuilles et clés",3347,2282,5629,11.8687667362,2297,181,2478,68.63%,7.93%,44.02%,0,0,,0.00%,0.00%
"AUTRES  CARTABLE","Sacs",7,7,14,0.0295190503,5,1,6,71.43%,14.29%,42.86%,0,0,,0.00%,0.00%
"SACOCHE","Sacs",294,335,629,1.3262487613,212,54,266,72.11%,16.12%,42.29%,0,0,,0.00%,0.00%
"CARTE GRISE","Cartes et documents",407,26,433,0.9129820566,179,2,181,43.98%,7.69%,41.80%,0,0,,0.00%,0.00%
"ATTACHE CASE / MALETTE","Sacs",6,16,22,0.0463870791,5,3,8,83.33%,18.75%,36.36%,0,0,,0.00%,0.00%
"SAC A MAIN","Sacs",232,343,575,1.2123895671,166,36,202,71.55%,10.50%,35.13%,0,0,,0.00%,0.00%
"AUTRES SAC DE VOYAGE","Sacs",7,22,29,0.0611466043,4,6,10,57.14%,27.27%,34.48%,0,0,,0.00%,0.00%
"PORTE DOCUMENT / POCHETTE","Sacs",370,198,568,1.197630042,170,21,191,45.95%,10.61%,33.63%,0,0,,0.00%,0.00%
"POCHETTE / ÉTUI","Sacs",742,806,1548,3.2639635651,460,59,519,61.99%,7.32%,33.53%,0,0,,0.00%,0.00%
"AUTRES PIÈCES  IDENTIFIÉES","Cartes et documents",1229,885,2114,4.4573765998,649,45,694,52.81%,5.08%,32.83%,0,0,,0.00%,0.00%
"CARTE IDENTITE","Cartes et documents",5440,627,6067,12.7922913109,1827,46,1873,33.58%,7.34%,30.87%,0,0,,0.00%,0.00%
"VALISE","Sacs",33,171,204,0.4301347334,22,40,62,66.67%,23.39%,30.39%,0,0,,0.00%,0.00%
"BANANE","Sacs",11,20,31,0.0653636114,6,3,9,54.55%,15.00%,29.03%,0,0,,0.00%,0.00%
"AGENDA / REPERTOIRE","Portefeuilles et clés",17,44,61,0.1286187193,13,4,17,76.47%,9.09%,27.87%,0,0,,0.00%,0.00%
"ORDINATEUR PORTABLE","High Tech, vidéo, musique",4,124,128,0.2698884602,3,31,34,75.00%,25.00%,26.56%,0,0,,0.00%,0.00%
"CHÉQUIER","Portefeuilles et clés",133,10,143,0.3015160141,34,2,36,25.56%,20.00%,25.17%,0,0,,0.00%,0.00%
"AUTRES PORTE MONNAIE","Portefeuilles et clés",1,3,4,0.0084340144,1,0,1,100.00%,0.00%,25.00%,0,0,,0.00%,0.00%
"BOURSE","Portefeuilles et clés",1,3,4,0.0084340144,1,0,1,100.00%,0.00%,25.00%,0,0,,0.00%,0.00%
"DIPLÔME","Cartes et documents",1,3,4,0.0084340144,1,0,1,100.00%,0.00%,25.00%,0,0,,0.00%,0.00%
"SAC DE VOYAGE","Sacs",25,104,129,0.2719969638,15,17,32,60.00%,16.35%,24.81%,0,0,,0.00%,0.00%
"PASSEPORT","Cartes et documents",911,786,1697,3.5781306007,360,49,409,39.52%,6.23%,24.10%,0,0,,0.00%,0.00%
"SAC A DOS","Sacs",259,1047,1306,2.7537056951,170,144,314,65.64%,13.75%,24.04%,0,1,,0.00%,0.10%
"CARTABLE D'ÉCOLIER","Sacs",3,18,21,0.0442785755,2,3,5,66.67%,16.67%,23.81%,0,0,,0.00%,0.00%
"AUTRES DOCUMENTS DIVERS","Cartes et documents",544,711,1255,2.6461720117,257,35,292,47.24%,4.92%,23.27%,0,0,,0.00%,0.00%
"SAC DE SPORT","Sacs",7,82,89,0.18765682,7,13,20,100.00%,15.85%,22.47%,0,0,,0.00%,0.00%
"ENVELOPPES","Cartes et documents",101,33,134,0.2825394817,27,3,30,26.73%,9.09%,22.39%,0,0,,0.00%,0.00%
"AUTRES COSMÉTIQUE","Autres",0,9,9,0.0189765324,0,2,2,,22.22%,22.22%,0,0,,,0.00%
"ORDONNANCE / RADIOGRAPHIE","Cartes et documents",35,79,114,0.2403694098,11,14,25,31.43%,17.72%,21.93%,0,0,,0.00%,0.00%
"PERMIS DE CONDUIRE","Cartes et documents",855,423,1278,2.6946675944,260,17,277,30.41%,4.02%,21.67%,0,0,,0.00%,0.00%
"AUTRES SAC A COURSE","Sacs",14,97,111,0.234043899,10,13,23,71.43%,13.40%,20.72%,0,0,,0.00%,0.00%
"AUTRES INSTRUMENTS DE MUSIQUE","Autres",0,5,5,0.010542518,0,1,1,,20.00%,20.00%,0,0,,,0.00%
"PORTE-CARTE","Cartes et documents",452,1283,1735,3.6582537373,260,83,343,57.52%,6.47%,19.77%,0,0,,0.00%,0.00%
"LIVRE ELECTRONIQUE","High Tech, vidéo, musique",0,16,16,0.0337360575,0,3,3,,18.75%,18.75%,0,0,,,0.00%
"AUTRES SAC LOISIRS","Sacs",77,423,500,1.0542517975,44,45,89,57.14%,10.64%,17.80%,0,0,,0.00%,0.00%
"CLASSEUR","Cartes et documents",9,8,17,0.0358445611,2,1,3,22.22%,12.50%,17.65%,0,0,,0.00%,0.00%
"RAQUETTE","Autres",0,25,25,0.0527125899,0,4,4,,16.00%,16.00%,0,0,,,0.00%
"PORTE-MONNAIE","Portefeuilles et clés",193,695,888,1.8723511924,111,27,138,57.51%,3.88%,15.54%,0,0,,0.00%,0.00%
"CARTON A DESSIN","Autres",1,26,27,0.0569295971,0,4,4,0.00%,15.38%,14.81%,0,0,,0.00%,0.00%
"TROUSSE DE TOILETTE","Sacs",1,20,21,0.0442785755,1,2,3,100.00%,10.00%,14.29%,0,0,,0.00%,0.00%
"AUTRES MÉDICAL","Autres",9,44,53,0.1117506905,3,4,7,33.33%,9.09%,13.21%,0,0,,0.00%,0.00%
"CABAS","Sacs",30,217,247,0.520800388,19,12,31,63.33%,5.53%,12.55%,0,0,,0.00%,0.00%
"AUTRES ACCESSOIRES  DE MUSIQUE","Autres",0,9,9,0.0189765324,0,1,1,,11.11%,11.11%,0,0,,,0.00%
"AUTRES VETEMENTS HAUTS","Vêtements",0,9,9,0.0189765324,0,1,1,,11.11%,11.11%,0,0,,,0.00%
"MAGNETOSCOPE / LECTEUR DVD","High Tech, vidéo, musique",0,9,9,0.0189765324,0,1,1,,11.11%,11.11%,0,0,,,0.00%
"VANITY CASE","Sacs",1,8,9,0.0189765324,1,0,1,100.00%,0.00%,11.11%,0,0,,0.00%,0.00%
"CONSOLE DE JEUX VIDÉO","High Tech, vidéo, musique",0,28,28,0.0590381007,0,3,3,,10.71%,10.71%,0,0,,,0.00%
"CADDIE","Sacs",5,80,85,0.1792228056,3,6,9,60.00%,7.50%,10.59%,0,0,,0.00%,0.00%
"TABLETTES NUMÉRIQUES","High Tech, vidéo, musique",1,207,208,0.4385687478,1,21,22,100.00%,10.14%,10.58%,0,0,,0.00%,0.00%
"SAC PAPIER","Sacs",20,300,320,0.6747211504,10,23,33,50.00%,7.67%,10.31%,0,0,,0.00%,0.00%
"CHÉQUE","Cartes et documents",63,15,78,0.1644632804,7,1,8,11.11%,6.67%,10.26%,0,0,,0.00%,0.00%
"HOUSSE A VÊTEMENT","Vêtements",0,10,10,0.0210850359,0,1,1,,10.00%,10.00%,0,0,,,0.00%
"TÉLÉPHONE PORTABLE","High Tech, vidéo, musique",2,2529,2531,5.3366225989,0,226,226,0.00%,8.94%,8.93%,0,0,,0.00%,0.00%
"TROUSSE DE MAQUILLAGE","Sacs",3,43,46,0.0969911654,2,2,4,66.67%,4.65%,8.70%,0,0,,0.00%,0.00%
"AUTRES  INFORMATIQUE","High Tech, vidéo, musique",1,11,12,0.0253020431,1,0,1,100.00%,0.00%,8.33%,0,0,,0.00%,0.00%
"CANNE / BÉQUILLE","Autres",0,64,64,0.1349442301,0,5,5,,7.81%,7.81%,0,0,,,0.00%
"IMPERMÉABLE","Vêtements",1,25,26,0.0548210935,1,1,2,100.00%,4.00%,7.69%,0,0,,0.00%,0.00%
"PHOTOS / POSTERS / CADRES","Autres",0,26,26,0.0548210935,0,2,2,,7.69%,7.69%,0,0,,,0.00%
"SAC PLASTIQUE","Sacs",99,959,1058,2.2307968035,47,33,80,47.47%,3.44%,7.56%,0,0,,0.00%,0.00%
"LIVRET DE FAMILLE","Cartes et documents",10,96,106,0.2235013811,5,3,8,50.00%,3.13%,7.55%,0,0,,0.00%,0.00%
"CARTE PROFESSIONNELLE","Cartes et documents",11,123,134,0.2825394817,3,7,10,27.27%,5.69%,7.46%,0,0,,0.00%,0.00%
"AUTRES DIVERS","Autres",28,370,398,0.8391844308,16,13,29,57.14%,3.51%,7.29%,0,0,,0.00%,0.00%
"AUTRES DOCS ET ACCES. SCOLAIRE","Cartes et documents",20,22,42,0.088557151,2,1,3,10.00%,4.55%,7.14%,0,0,,0.00%,0.00%
"PROTHESES","Autres",0,14,14,0.0295190503,0,1,1,,7.14%,7.14%,0,0,,,0.00%
"APPAREIL PHOTO","High Tech, vidéo, musique",3,183,186,0.3921816687,2,9,11,66.67%,4.92%,5.91%,0,0,,0.00%,0.00%
"CAMÉSCOPE / CAMERA","High Tech, vidéo, musique",0,17,17,0.0358445611,0,1,1,,5.88%,5.88%,0,0,,,0.00%
"DISQUE (VINYL / CD)","High Tech, vidéo, musique",0,17,17,0.0358445611,0,1,1,,5.88%,5.88%,0,0,,,0.00%
"CHAUSSURES / BOTTES","Vêtements",0,107,107,0.2256098847,0,6,6,,5.61%,5.61%,0,0,,,0.00%
"POUSSETTE","Autres",0,37,37,0.078014633,0,2,2,,5.41%,5.41%,0,0,,,0.00%
"CARTE IMAGINE R","Cartes et documents",13,63,76,0.1602462732,2,2,4,15.38%,3.17%,5.26%,0,0,,0.00%,0.00%
"BLOUSON","Vêtements",10,276,286,0.6030320282,5,10,15,50.00%,3.62%,5.24%,0,0,,0.00%,0.00%
"CLEF","Portefeuilles et clés",11,2967,2978,6.2791237059,4,147,151,36.36%,4.95%,5.07%,0,0,,0.00%,0.00%
"MANTEAU","Vêtements",0,80,80,0.1686802876,0,4,4,,5.00%,5.00%,0,0,,,0.00%
"MÉDICAMENT","Autres",4,16,20,0.0421700719,1,0,1,25.00%,0.00%,5.00%,0,0,,0.00%,0.00%
"CASQUE","Accessoires",0,63,63,0.1328357265,0,3,3,,4.76%,4.76%,0,0,,,0.00%
"VESTE","Vêtements",6,359,365,0.7696038122,4,12,16,66.67%,3.34%,4.38%,0,0,,0.00%,0.00%
"AUTRES  LIVRES","Autres",4,68,72,0.1518122588,3,0,3,75.00%,0.00%,4.17%,0,0,,0.00%,0.00%
"AUTRES PIECES BANCAIRES","Cartes et documents",8,65,73,0.1539207624,0,3,3,0.00%,4.62%,4.11%,0,0,,0.00%,0.00%
"MP3","High Tech, vidéo, musique",0,73,73,0.1539207624,0,3,3,,4.11%,4.11%,0,0,,,0.00%
"ALLIANCE","Accessoires",0,25,25,0.0527125899,0,1,1,,4.00%,4.00%,0,0,,,0.00%
"COLLIER","Accessoires",0,57,57,0.1201847049,0,2,2,,3.51%,3.51%,0,0,,,0.00%
"CHAPEAU","Accessoires",0,97,97,0.2045248487,0,3,3,,3.09%,3.09%,0,0,,,0.00%
"AUTRES  VÊTEMENT","Vêtements",0,34,34,0.0716891222,0,1,1,,2.94%,2.94%,0,0,,,0.00%
"BIP","Portefeuilles et clés",0,34,34,0.0716891222,0,1,1,,2.94%,2.94%,0,0,,,0.00%
